,id,name,address,crossStreet,lat,lng,postalCode,cc,city,state,country,category_id,category_name,venuePage,neighborhood
20,4dfbedc0d22d879302f3a7f2,ALDI,2220 Coit Rd,at W Park Blvd,33.02797168584692,-96.76863712509657,75075,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
21,4fb143a3e4b09f9a2b4362df,Walmart Neighborhood Market,3100 Custer Rd,,33.03955570613217,-96.73183096241911,75075,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
22,4b3153fff964a520d70425e3,Tom Thumb,18212 Preston Rd,Frankford Rd.,32.9998551,-96.7936833,75252,US,Dallas,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
23,4b92c080f964a5206d1834e3,Kroger,17194 Preston Rd,at Campbell Rd.,32.984462873724645,-96.80119426580859,75248,US,Dallas,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
24,4acbd45bf964a520e9c720e3,Albertsons,4625 Frankford Rd,Dallas Parkway,32.9992841,-96.8272396,75287,US,Dallas,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
25,4dd9be1b1838b8561d213b76,Walmart Supercenter,8555 Preston Rd,,33.14705887191063,-96.8076329979599,75034,US,Frisco,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
26,4aad4753f964a520745f20e3,Walmart Supercenter,425 Coit Rd,,33.00447022692925,-96.77143381518187,75075,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
27,4b8351e9f964a520530231e3,Kroger,6805 Main St,at N Colony Blvd,33.09810545968444,-96.89381058211438,75056,US,The Colony,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
28,4ba916eef964a5206f0a3ae3,Sysco,800 Trinity Dr,,33.064051,-96.87369699999999,75056,US,The Colony,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
29,4b3a62faf964a520216625e3,Walmart Supercenter,4691 State Highway 121,"Main St. (FM 423), Memorial Dr.",33.06680606,-96.89190789,75056,US,Lewisville,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
30,5b4d924b2463d8004400e713,ALDI,6150 N Josey Ln,Windhaven Pkwy,33.0614369,-96.8856342,75056,US,Lewisville,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
